"Prenoèitvene zmogljivosti po: VRSTE OBÈIN, VRSTE NASTANITVENIH"
"OBJEKTOV, LETO , MERITVE"

" ";" ";" ";"Število objektov";"Število sob";"Zmogljivosti - ležišèa - SKUPAJ";"Zmogljivosti - ležišèa - stalna"
"SLOVENIJA"
" ";"Vrste nastanitvenih objektov - SKUPAJ"
" ";"Vrste nastanitvenih objektov - SKUPAJ"
" ";" ";"2008";...;3356;7290;6858
" ";" ";"2009";...;3342;7197;6787
" ";" ";"2010";...;3745;8186;7738
" ";" ";"2011";...;3667;8182;7807
" ";" ";"2012";...;4040;9056;8397
" ";" ";"2013";...;3909;9252;8569
" ";" ";"2014";...;4022;9597;8882
" ";" ";"2015";...;4138;10030;9249
" ";" ";"2016";...;4353;10726;9753
" ";" ";"2017";...;4627;11469;10382
" ";"Hoteli"
" ";" ";"2008";18;1985;3802;3539
" ";" ";"2009";18;1942;3623;3389
" ";" ";"2010";20;1991;3859;3595
" ";" ";"2011";21;2020;3952;3734
" ";" ";"2012";28;2417;5008;4499
" ";" ";"2013";29;2443;5055;4537
" ";" ";"2014";29;2458;5122;4581
" ";" ";"2015";31;2477;5166;4593
" ";" ";"2016";32;2500;5341;4678
" ";" ";"2017";34;2687;5647;4966
" ";"Moteli"
" ";" ";"2008";-;-;-;-
" ";" ";"2009";-;-;-;-
" ";" ";"2010";-;-;-;-
" ";" ";"2011";-;-;-;-
" ";" ";"2012";-;-;-;-
" ";" ";"2013";-;-;-;-
" ";" ";"2014";-;-;-;-
" ";" ";"2015";-;-;-;-
" ";" ";"2016";-;-;-;-
" ";" ";"2017";-;-;-;-
