"Prihodi in prenoèitve turistov po: VRSTE OBÈIN, VRSTE NASTANITVENIH"
"OBJEKTOV, DRŽAVE, LETO , MERITVE"

" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";"Prenoèitve turistov - SKUPAJ"
"Zdraviliške obèine"
" ";"Hoteli"
" ";" ";" ";"2013";14532;71360
" ";" ";" ";"2014";14636;70393
" ";" ";" ";"2015";16503;74583
" ";" ";" ";"2016";17815;77360
" ";" ";" ";"2017";19476;82730
" ";" ";"Nizozemska"
" ";" ";" ";"2008";1476;6982
" ";" ";" ";"2009";1662;7925
" ";" ";" ";"2010";1635;7369
" ";" ";" ";"2011";1954;9265
" ";" ";" ";"2012";2489;11483
" ";" ";" ";"2013";2577;12365
" ";" ";" ";"2014";2128;10833
" ";" ";" ";"2015";2207;10936
" ";" ";" ";"2016";2573;13458
" ";" ";" ";"2017";3013;15056
" ";" ";"Norveška"
" ";" ";" ";"2008";322;879
" ";" ";" ";"2009";252;735
" ";" ";" ";"2010";171;411
" ";" ";" ";"2011";309;843
" ";" ";" ";"2012";210;862
" ";" ";" ";"2013";205;574
" ";" ";" ";"2014";160;426
" ";" ";" ";"2015";262;712
" ";" ";" ";"2016";239;855
" ";" ";" ";"2017";322;1422
" ";" ";"Poljska"
" ";" ";" ";"2008";1635;3969
" ";" ";" ";"2009";1197;3069
" ";" ";" ";"2010";1291;4808
" ";" ";" ";"2011";1485;3902
" ";" ";" ";"2012";1553;4841
" ";" ";" ";"2013";1714;5169
" ";" ";" ";"2014";1657;3421
" ";" ";" ";"2015";1954;3999
" ";" ";" ";"2016";2044;4225
" ";" ";" ";"2017";2796;5781
" ";" ";"Portugalska"
" ";" ";" ";"2008";156;429
" ";" ";" ";"2009";121;595
" ";" ";" ";"2010";216;359
" ";" ";" ";"2011";263;600
" ";" ";" ";"2012";318;1022
" ";" ";" ";"2013";240;628
" ";" ";" ";"2014";263;727
" ";" ";" ";"2015";322;1064
" ";" ";" ";"2016";211;728
