"Prihodi in prenoèitve turistov po: VRSTE OBÈIN, VRSTE NASTANITVENIH"
"OBJEKTOV, DRŽAVE, LETO , MERITVE"

" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";"Prenoèitve turistov - SKUPAJ"
"Zdraviliške obèine"
" ";"Hoteli"
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";4;12
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";-;-
" ";" ";" ";"2015";1;12
" ";" ";" ";"2016";2;4
" ";" ";" ";"2017";4;20
" ";" ";"Èeška republika"
" ";" ";" ";"2008";119;232
" ";" ";" ";"2009";108;250
" ";" ";" ";"2010";93;199
" ";" ";" ";"2011";95;174
" ";" ";" ";"2012";205;410
" ";" ";" ";"2013";117;239
" ";" ";" ";"2014";160;294
" ";" ";" ";"2015";539;871
" ";" ";" ";"2016";630;1116
" ";" ";" ";"2017";824;1354
" ";" ";"Èrna gora"
" ";" ";" ";"2008";16;63
" ";" ";" ";"2009";5;38
" ";" ";" ";"2010";8;66
" ";" ";" ";"2011";37;81
" ";" ";" ";"2012";75;256
" ";" ";" ";"2013";39;64
" ";" ";" ";"2014";39;73
" ";" ";" ";"2015";54;135
" ";" ";" ";"2016";77;146
" ";" ";" ";"2017";107;205
" ";" ";"Danska"
" ";" ";" ";"2008";8;21
" ";" ";" ";"2009";6;17
" ";" ";" ";"2010";8;16
" ";" ";" ";"2011";12;16
" ";" ";" ";"2012";25;44
" ";" ";" ";"2013";15;38
" ";" ";" ";"2014";11;45
" ";" ";" ";"2015";57;134
" ";" ";" ";"2016";61;121
" ";" ";" ";"2017";45;70
" ";" ";"Estonija"
" ";" ";" ";"2008";5;5
" ";" ";" ";"2009";1;1
" ";" ";" ";"2010";3;3
" ";" ";" ";"2011";5;5
" ";" ";" ";"2012";5;9
" ";" ";" ";"2013";8;12
" ";" ";" ";"2014";6;24
" ";" ";" ";"2015";55;61
" ";" ";" ";"2016";34;40
" ";" ";" ";"2017";55;84
" ";" ";"Finska"
" ";" ";" ";"2008";22;36
" ";" ";" ";"2009";16;28
" ";" ";" ";"2010";9;62
" ";" ";" ";"2011";8;11
" ";" ";" ";"2012";20;25
" ";" ";" ";"2013";17;34
" ";" ";" ";"2014";18;50
" ";" ";" ";"2015";66;123
" ";" ";" ";"2016";99;194
" ";" ";" ";"2017";90;168
" ";" ";"Francija"
" ";" ";" ";"2008";302;781
" ";" ";" ";"2009";245;832
" ";" ";" ";"2010";122;288
" ";" ";" ";"2011";106;249
" ";" ";" ";"2012";157;423
" ";" ";" ";"2013";175;695
" ";" ";" ";"2014";162;522
" ";" ";" ";"2015";269;584
" ";" ";" ";"2016";351;790
" ";" ";" ";"2017";353;819
" ";" ";"Grèija"
" ";" ";" ";"2008";44;79
" ";" ";" ";"2009";21;45
" ";" ";" ";"2010";9;32
" ";" ";" ";"2011";4;5
" ";" ";" ";"2012";8;26
" ";" ";" ";"2013";3;4
" ";" ";" ";"2014";17;34
" ";" ";" ";"2015";35;107
" ";" ";" ";"2016";28;42
" ";" ";" ";"2017";48;89
" ";" ";"Hrvaška"
" ";" ";" ";"2008";516;1095
" ";" ";" ";"2009";395;1287
" ";" ";" ";"2010";328;1036
" ";" ";" ";"2011";340;1143
" ";" ";" ";"2012";443;1168
" ";" ";" ";"2013";332;785
" ";" ";" ";"2014";315;689
" ";" ";" ";"2015";500;941
" ";" ";" ";"2016";642;1371
" ";" ";" ";"2017";781;1808
" ";" ";"Irska"
" ";" ";" ";"2008";9;29
" ";" ";" ";"2009";8;17
" ";" ";" ";"2010";3;12
" ";" ";" ";"2011";9;36
" ";" ";" ";"2012";14;52
" ";" ";" ";"2013";8;29
" ";" ";" ";"2014";23;81
" ";" ";" ";"2015";23;41
" ";" ";" ";"2016";32;49
" ";" ";" ";"2017";11;20
" ";" ";"Islandija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";8;12
" ";" ";" ";"2010";2;35
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";2;4
" ";" ";" ";"2014";-;-
" ";" ";" ";"2015";-;-
" ";" ";" ";"2016";11;31
" ";" ";" ";"2017";6;39
" ";" ";"Italija"
" ";" ";" ";"2008";395;867
" ";" ";" ";"2009";394;917
" ";" ";" ";"2010";328;677
" ";" ";" ";"2011";253;626
" ";" ";" ";"2012";336;755
" ";" ";" ";"2013";231;486
" ";" ";" ";"2014";307;779
" ";" ";" ";"2015";869;1619
" ";" ";" ";"2016";1167;2353
" ";" ";" ";"2017";1273;2714
" ";" ";"Latvija"
" ";" ";" ";"2008";10;10
" ";" ";" ";"2009";1;1
" ";" ";" ";"2010";14;15
" ";" ";" ";"2011";10;12
" ";" ";" ";"2012";12;32
" ";" ";" ";"2013";23;44
" ";" ";" ";"2014";5;5
" ";" ";" ";"2015";35;69
" ";" ";" ";"2016";46;99
" ";" ";" ";"2017";65;93
" ";" ";"Litva"
" ";" ";" ";"2008";7;16
" ";" ";" ";"2009";4;13
" ";" ";" ";"2010";8;17
" ";" ";" ";"2011";4;9
" ";" ";" ";"2012";13;36
" ";" ";" ";"2013";5;5
" ";" ";" ";"2014";4;4
" ";" ";" ";"2015";49;53
" ";" ";" ";"2016";41;54
" ";" ";" ";"2017";82;112
" ";" ";"Luksemburg"
" ";" ";" ";"2008";2;8
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";1;2
" ";" ";" ";"2011";9;40
" ";" ";" ";"2012";6;21
" ";" ";" ";"2013";3;5
" ";" ";" ";"2014";3;3
" ";" ";" ";"2015";4;4
" ";" ";" ";"2016";9;15
" ";" ";" ";"2017";4;63
" ";" ";"Madžarska"
" ";" ";" ";"2008";137;293
" ";" ";" ";"2009";138;294
" ";" ";" ";"2010";76;172
" ";" ";" ";"2011";89;289
" ";" ";" ";"2012";137;334
" ";" ";" ";"2013";142;279
" ";" ";" ";"2014";160;331
" ";" ";" ";"2015";337;566
" ";" ";" ";"2016";494;1167
" ";" ";" ";"2017";594;1102
" ";" ";"Makedonija"
" ";" ";" ";"2008";84;227
" ";" ";" ";"2009";48;117
" ";" ";" ";"2010";87;190
" ";" ";" ";"2011";71;84
" ";" ";" ";"2012";121;224
" ";" ";" ";"2013";92;172
" ";" ";" ";"2014";129;216
" ";" ";" ";"2015";140;278
" ";" ";" ";"2016";173;386
" ";" ";" ";"2017";175;459
" ";" ";"Malta"
" ";" ";" ";"2008";6;15
" ";" ";" ";"2009";3;6
" ";" ";" ";"2010";2;2
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";1;5
" ";" ";" ";"2014";6;11
" ";" ";" ";"2015";1;2
" ";" ";" ";"2016";9;18
" ";" ";" ";"2017";14;27
" ";" ";"Nemèija"
" ";" ";" ";"2008";490;1127
" ";" ";" ";"2009";296;798
" ";" ";" ";"2010";292;981
" ";" ";" ";"2011";386;1118
" ";" ";" ";"2012";446;1059
" ";" ";" ";"2013";402;929
" ";" ";" ";"2014";544;1742
" ";" ";" ";"2015";1387;2596
" ";" ";" ";"2016";1525;3023
" ";" ";" ";"2017";2099;3426
" ";" ";"Nizozemska"
" ";" ";" ";"2008";105;251
" ";" ";" ";"2009";71;167
" ";" ";" ";"2010";57;157
" ";" ";" ";"2011";56;180
" ";" ";" ";"2012";170;289
" ";" ";" ";"2013";119;278
" ";" ";" ";"2014";103;179
" ";" ";" ";"2015";326;506
" ";" ";" ";"2016";438;704
" ";" ";" ";"2017";577;1122
" ";" ";"Norveška"
" ";" ";" ";"2008";61;168
" ";" ";" ";"2009";41;75
" ";" ";" ";"2010";6;24
" ";" ";" ";"2011";8;47
" ";" ";" ";"2012";3;3
" ";" ";" ";"2013";5;9
" ";" ";" ";"2014";5;20
" ";" ";" ";"2015";20;40
" ";" ";" ";"2016";31;53
" ";" ";" ";"2017";29;56
" ";" ";"Poljska"
" ";" ";" ";"2008";106;236
" ";" ";" ";"2009";112;273
" ";" ";" ";"2010";55;170
" ";" ";" ";"2011";86;377
" ";" ";" ";"2012";303;604
" ";" ";" ";"2013";129;208
" ";" ";" ";"2014";208;497
" ";" ";" ";"2015";680;1090
" ";" ";" ";"2016";1043;2594
" ";" ";" ";"2017";1863;3046
" ";" ";"Portugalska"
" ";" ";" ";"2008";5;7
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";2;4
" ";" ";" ";"2011";10;42
" ";" ";" ";"2012";12;51
" ";" ";" ";"2013";9;62
" ";" ";" ";"2014";3;19
" ";" ";" ";"2015";31;93
" ";" ";" ";"2016";25;42
" ";" ";" ";"2017";26;43
" ";" ";"Romunija"
" ";" ";" ";"2008";220;490
" ";" ";" ";"2009";172;477
" ";" ";" ";"2010";179;725
" ";" ";" ";"2011";222;999
" ";" ";" ";"2012";208;462
" ";" ";" ";"2013";217;661
" ";" ";" ";"2014";199;517
" ";" ";" ";"2015";533;966
" ";" ";" ";"2016";565;909
" ";" ";" ";"2017";660;1190
" ";" ";"Ruska federacija"
" ";" ";" ";"2008";29;134
" ";" ";" ";"2009";19;44
" ";" ";" ";"2010";25;105
" ";" ";" ";"2011";39;139
" ";" ";" ";"2012";66;135
" ";" ";" ";"2013";56;230
" ";" ";" ";"2014";78;198
" ";" ";" ";"2015";250;523
" ";" ";" ";"2016";192;403
" ";" ";" ";"2017";331;813
" ";" ";"Slovaška"
" ";" ";" ";"2008";71;306
" ";" ";" ";"2009";85;233
" ";" ";" ";"2010";91;209
" ";" ";" ";"2011";89;207
" ";" ";" ";"2012";74;167
" ";" ";" ";"2013";52;120
" ";" ";" ";"2014";76;145
" ";" ";" ";"2015";205;406
" ";" ";" ";"2016";192;387
" ";" ";" ";"2017";288;575
" ";" ";"Srbija"
" ";" ";" ";"2008";183;403
" ";" ";" ";"2009";115;232
" ";" ";" ";"2010";201;458
" ";" ";" ";"2011";248;592
" ";" ";" ";"2012";278;553
" ";" ";" ";"2013";252;493
" ";" ";" ";"2014";249;431
" ";" ";" ";"2015";394;649
" ";" ";" ";"2016";649;1455
" ";" ";" ";"2017";709;1743
" ";" ";"Španija"
" ";" ";" ";"2008";39;99
" ";" ";" ";"2009";33;74
" ";" ";" ";"2010";24;47
" ";" ";" ";"2011";34;85
" ";" ";" ";"2012";86;151
" ";" ";" ";"2013";53;175
" ";" ";" ";"2014";65;244
" ";" ";" ";"2015";189;310
" ";" ";" ";"2016";205;627
" ";" ";" ";"2017";275;565
" ";" ";"Švedska"
" ";" ";" ";"2008";42;89
" ";" ";" ";"2009";22;49
" ";" ";" ";"2010";29;63
" ";" ";" ";"2011";24;46
" ";" ";" ";"2012";13;20
" ";" ";" ";"2013";16;44
" ";" ";" ";"2014";36;110
" ";" ";" ";"2015";83;163
" ";" ";" ";"2016";104;337
" ";" ";" ";"2017";139;208
" ";" ";"Švica"
" ";" ";" ";"2008";92;226
" ";" ";" ";"2009";46;115
" ";" ";" ";"2010";47;94
" ";" ";" ";"2011";17;27
" ";" ";" ";"2012";47;95
" ";" ";" ";"2013";46;89
" ";" ";" ";"2014";253;1611
" ";" ";" ";"2015";101;188
" ";" ";" ";"2016";119;210
" ";" ";" ";"2017";132;212
" ";" ";"Turèija"
" ";" ";" ";"2008";9;11
" ";" ";" ";"2009";4;7
" ";" ";" ";"2010";13;34
" ";" ";" ";"2011";11;48
" ";" ";" ";"2012";11;25
" ";" ";" ";"2013";16;65
" ";" ";" ";"2014";12;28
" ";" ";" ";"2015";29;61
" ";" ";" ";"2016";35;80
" ";" ";" ";"2017";68;149
" ";" ";"Ukrajina"
" ";" ";" ";"2008";48;63
" ";" ";" ";"2009";7;26
" ";" ";" ";"2010";22;35
" ";" ";" ";"2011";18;48
" ";" ";" ";"2012";67;162
" ";" ";" ";"2013";25;46
" ";" ";" ";"2014";42;62
" ";" ";" ";"2015";145;190
" ";" ";" ";"2016";146;224
" ";" ";" ";"2017";253;381
" ";" ";"Združeno kraljestvo"
" ";" ";" ";"2008";101;284
" ";" ";" ";"2009";54;141
" ";" ";" ";"2010";46;155
" ";" ";" ";"2011";66;300
" ";" ";" ";"2012";79;269
" ";" ";" ";"2013";70;190
" ";" ";" ";"2014";130;414
" ";" ";" ";"2015";208;507
" ";" ";" ";"2016";252;559
" ";" ";" ";"2017";318;756
" ";" ";"Južna Afrika"
" ";" ";" ";"2008";9;28
" ";" ";" ";"2009";9;26
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";2;2
" ";" ";" ";"2012";12;29
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";1;2
" ";" ";" ";"2015";14;31
" ";" ";" ";"2016";15;22
" ";" ";" ";"2017";7;24
" ";" ";"Avstralija"
" ";" ";" ";"2008";34;53
" ";" ";" ";"2009";7;11
" ";" ";" ";"2010";17;43
" ";" ";" ";"2011";32;159
" ";" ";" ";"2012";17;55
" ";" ";" ";"2013";25;87
" ";" ";" ";"2014";26;77
" ";" ";" ";"2015";54;183
" ";" ";" ";"2016";59;132
" ";" ";" ";"2017";117;224
" ";" ";"Nova Zelandija"
" ";" ";" ";"2008";11;17
" ";" ";" ";"2009";5;9
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";2;2
" ";" ";" ";"2012";3;8
" ";" ";" ";"2013";2;3
" ";" ";" ";"2014";7;12
" ";" ";" ";"2015";11;26
" ";" ";" ";"2016";7;9
" ";" ";" ";"2017";9;17
" ";" ";"Izrael"
" ";" ";" ";"2008";54;91
" ";" ";" ";"2009";69;130
" ";" ";" ";"2010";33;48
" ";" ";" ";"2011";56;72
" ";" ";" ";"2012";86;105
" ";" ";" ";"2013";82;110
" ";" ";" ";"2014";47;74
" ";" ";" ";"2015";240;526
" ";" ";" ";"2016";169;251
" ";" ";" ";"2017";219;427
" ";" ";"Japonska"
" ";" ";" ";"2008";3;3
" ";" ";" ";"2009";2;7
" ";" ";" ";"2010";5;5
" ";" ";" ";"2011";5;14
" ";" ";" ";"2012";5;10
" ";" ";" ";"2013";13;113
" ";" ";" ";"2014";7;10
" ";" ";" ";"2015";12;29
" ";" ";" ";"2016";24;48
" ";" ";" ";"2017";20;30
" ";" ";"Kitajska (Ljudska republika)"
" ";" ";" ";"2008";1;1
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";1;1
" ";" ";" ";"2011";11;51
" ";" ";" ";"2012";12;34
" ";" ";" ";"2013";9;53
" ";" ";" ";"2014";23;103
" ";" ";" ";"2015";42;87
" ";" ";" ";"2016";44;86
" ";" ";" ";"2017";45;67
" ";" ";"Koreja (Republika)"
" ";" ";" ";"2008";2;2
" ";" ";" ";"2009";2;3
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";1;1
" ";" ";" ";"2012";8;26
" ";" ";" ";"2013";6;168
" ";" ";" ";"2014";3;6
" ";" ";" ";"2015";19;22
" ";" ";" ";"2016";7;13
" ";" ";" ";"2017";14;29
" ";" ";"Brazilija"
" ";" ";" ";"2008";7;26
" ";" ";" ";"2009";8;54
" ";" ";" ";"2010";3;3
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";3;3
" ";" ";" ";"2013";8;8
" ";" ";" ";"2014";9;30
" ";" ";" ";"2015";12;23
" ";" ";" ";"2016";9;22
" ";" ";" ";"2017";16;41
" ";" ";"Kanada"
" ";" ";" ";"2008";34;97
" ";" ";" ";"2009";22;70
" ";" ";" ";"2010";15;45
" ";" ";" ";"2011";15;17
" ";" ";" ";"2012";20;39
" ";" ";" ";"2013";31;84
" ";" ";" ";"2014";27;105
" ";" ";" ";"2015";31;58
" ";" ";" ";"2016";52;150
" ";" ";" ";"2017";45;77
" ";" ";"Združene države (ZDA)"
" ";" ";" ";"2008";85;222
" ";" ";" ";"2009";58;203
" ";" ";" ";"2010";51;197
" ";" ";" ";"2011";62;221
" ";" ";" ";"2012";61;213
" ";" ";" ";"2013";47;117
" ";" ";" ";"2014";55;239
" ";" ";" ";"2015";167;406
" ";" ";" ";"2016";138;257
" ";" ";" ";"2017";195;406
" ";"Planinski domovi in koèe"
" ";" ";"Avstrija"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";13;16
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";3;13
" ";" ";"Belgija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";1;1
" ";" ";"Bolgarija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Bosna in Hercegovina"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";9;18
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";2;8
" ";" ";" ";"2017";4;11
" ";" ";"Ciper"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Èeška republika"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";2;2
" ";" ";" ";"2017";-;-
" ";" ";"Èrna gora"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Danska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Estonija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Finska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";1;1
" ";" ";"Francija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";1;1
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";4;4
" ";" ";"Grèija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Hrvaška"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";7;9
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";17;20
" ";" ";" ";"2017";7;9
" ";" ";"Irska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Islandija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Italija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";4;22
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";28;31
" ";" ";" ";"2017";-;-
" ";" ";"Latvija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Litva"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";1;2
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Luksemburg"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Madžarska"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";8;8
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";1;1
" ";" ";" ";"2017";1;1
" ";" ";"Makedonija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Malta"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Nemèija"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";10;11
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";2;2
" ";" ";"Nizozemska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";2;2
" ";" ";" ";"2017";1;1
" ";" ";"Norveška"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Poljska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";1;1
" ";" ";" ";"2017";-;-
" ";" ";"Portugalska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Romunija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";1;2
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Ruska federacija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Slovaška"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";1;1
" ";" ";" ";"2017";-;-
" ";" ";"Srbija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";7;14
" ";" ";" ";"2017";3;3
" ";" ";"Španija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";-;-
" ";" ";" ";"2013";z;z
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";-;-
" ";" ";" ";"2017";-;-
" ";" ";"Švedska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
