"Tuji turisti po: MESEC, VRSTA OBÈINE, ELEMENT TURISTIÈNE PONUDBE ,"
"OCENA ZADOVOLJSTVA"

" ";" ";" ";"Ocena - SKUPAJ";"Zelo zadovoljen";"Zadovoljen";"Srednje  zadovoljen";"Nisem zadovoljen";"Sploh nisem zadovoljen";"Ne morem oceniti"
"Glavna sezona"
" ";"Vrsta obèine - SKUPAJ"
" ";" ";"Noèno življenje in zabava";98680;9067;39920;27900;5249;N;15799
" ";" ";"Možnosti za poèitek";98680;23596;60838;8436;2200;N;2442
" ";" ";"Primerno za družine";98680;15352;45287;13806;2364;N;21467
" ";" ";"Ponudba kazinojev in igralnic";98680;9352;21865;10391;2336;N;53353
" ";" ";"Konferenèna ponudba";98680;N;13635;12208;3055;N;66051
" ";" ";"Kakovost nastanitve";98680;20257;56158;15689;3315;N;2568
" ";" ";"Cenovna ugodnost ponudbe";98680;12047;58305;22839;2253;N;2729
" ";" ";"Sloves destinacije";98680;20234;60121;12998;2155;N;2331
" ";"Ljubljana"
" ";" ";"Osebna varnost";128495;61187;55094;6055;N;-;6023
" ";" ";"Dostopnost turistiènih informacij";128495;36873;69454;9518;N;N;9039
" ";" ";"Enostavnost dostopnosti destinacije";128495;43856;59705;17878;N;N;5662
" ";" ";"Cenovna ugodnost prevoza do destinacije";128495;24629;63429;20075;N;N;15216
" ";" ";"Organizacija lokalnega prevoza";128495;23613;46243;21446;N;N;34310
" ";" ";"Splošna èistoèa destinacije";128495;56519;50715;14204;N;-;6639
" ";" ";"Neokrnjena narava";128495;44502;57472;13397;N;N;11261
" ";" ";"Podnebne razmere";128495;28010;56758;28896;5238;N;8196
" ";" ";"Skrb za okolje";128495;34872;60429;17622;N;-;13918
" ";" ";"Prijaznost lokalnega prebivalstva";128495;66388;45761;9027;N;N;6556
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";128495;30268;61529;19337;N;N;15743
" ";" ";"Ponudba kulturnih prireditev";128495;20971;46456;27675;3811;N;28769
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";128495;7538;33662;19882;4750;N;59911
" ";" ";"Ponudba športnih prireditev";128495;3874;24768;18769;5787;N;72321
" ";" ";"Zdravstvena ponudba";128495;9947;26732;12775;3350;N;75580
" ";" ";"Dobropoèutna ponudba";128495;12388;34769;17164;3774;N;60002
" ";" ";"Ponudba lokalne gastronomije";128495;36635;54473;18405;N;N;15565
" ";" ";"Možnosti za nakupovanje";128495;19164;55834;26619;N;-;23423
" ";" ";"Noèno življenje in zabava";128495;12924;41528;19519;N;N;51507
" ";" ";"Možnosti za poèitek";128495;31093;65492;12765;N;N;18153
" ";" ";"Primerno za družine";128495;26029;48746;18614;N;N;33212
" ";" ";"Ponudba kazinojev in igralnic";128495;N;13424;19833;5474;N;85174
" ";" ";"Konferenèna ponudba";128495;5205;23158;12086;4746;N;82232
" ";" ";"Kakovost nastanitve";128495;44404;63071;12107;N;N;7771
" ";" ";"Cenovna ugodnost ponudbe";128495;35587;61967;18257;N;N;10420
" ";" ";"Sloves destinacije";128495;49277;53797;11684;N;N;12428
" ";"Mestne obèine in druge obèin"
" ";" ";"Osebna varnost";103561;53445;38136;6930;N;-;N
" ";" ";"Dostopnost turistiènih informacij";103561;23855;39649;21480;N;N;11150
" ";" ";"Enostavnost dostopnosti destinacije";103561;29836;52426;15057;N;N;N
" ";" ";"Cenovna ugodnost prevoza do destinacije";103561;13881;41454;26603;N;-;18435
" ";" ";"Organizacija lokalnega prevoza";103561;12362;23664;13278;N;N;46615
" ";" ";"Splošna èistoèa destinacije";103561;30897;51519;14331;N;N;N
" ";" ";"Neokrnjena narava";103561;29865;49098;13879;N;N;8012
" ";" ";"Podnebne razmere";103561;23335;51751;21148;N;-;N
" ";" ";"Skrb za okolje";103561;19038;49040;18904;N;N;12710
